selling_price,seller_type,Km_driven,owner_type,fuel_type,transmission_type,Mileage_KMpH,Engine_cc,max_power_bhp,Seats,No_year
7.5,100,70000,100,200,100,20.45,1461,83.8,5,7
6.6,100,120000,100,200,100,23.9,1582,126.2,5,7
4.35,200,28000,100,100,100,16.1,1197,85,5,8
3.85,200,55000,100,200,100,21.9,1396,88.76,5,9
12.5,200,14000,100,200,200,22,1582,126.2,5,3
5.5,100,18000,100,100,100,20.14,1197,81.86,5,5
1.55,200,98780,100,100,100,18.9,998,67.1,5,13
4.15,200,58000,100,200,100,25.2,1248,74,5,7
2.51,100,30000,100,100,100,20.92,998,67.1,5,11
11.5,200,46400,100,200,100,15.4,2179,120,7,6
3.1,300,32111,100,100,100,19.81,1086,68.05,5,8
3.5,100,35000,100,100,100,19.44,1198,67,7,7
11.25,200,30000,100,200,100,15.4,1997,120,7,5
2,100,43890,100,100,100,17.8,1199,76.8,5,5
4.8,100,10000,100,100,100,20.62,1198,67,7,4
8.5,100,25000,100,200,200,28.4,1248,74.02,5,5
11,200,102000,100,200,200,17.01,1582,126.2,5,5
5.75,200,35000,100,100,100,22,1197,81.8,5,4
3.4,200,49948,100,100,100,17.5,1298,85.8,5,10
5.59,100,114851,100,200,100,25,1396,69.01,5,4
9.25,100,55000,100,200,100,23,1498,98.96,5,4
4,200,36000,100,100,100,18.9,1197,82,5,7
5.6,100,35000,100,200,100,25.4,1186,73.97,5,3
7.25,200,49625,100,100,100,17.8,1497,117.3,5,6
6,100,35000,100,200,100,23.4,1248,74,5,8
5.85,200,36000,100,200,100,25.83,1498,99,5,5
4.11,100,50000,100,100,100,21.79,998,67.05,5,3
4.5,100,26500,100,100,100,20.85,1197,83.14,5,7
12.9,200,80000,100,100,200,13.7,1997,153.86,5,7
4.55,200,46000,100,100,100,16.47,1198,74,5,7
7.1,100,9000,100,100,100,20.7,1197,81.86,5,3
4.5,100,70000,100,200,100,18.49,1493,100,7,6
4.65,200,33000,100,100,100,17.71,1197,78.9,5,7
7.7,200,53000,100,100,100,16.8,1497,116.3,5,6
3.2,100,50000,100,200,100,19.09,1405,69.01,5,7
3.25,100,50000,100,200,100,19.09,1405,69.01,5,7
7.2,100,50000,100,200,100,25.8,1498,98.6,5,4
3.75,200,52000,100,200,100,25.32,1198,77,5,6
1.45,100,60000,100,100,100,14.49,1399,92.7,5,12
4,100,35000,100,100,100,19.44,1198,67,7,7
6,100,48000,100,200,100,19.87,1461,83.8,5,7
6,100,18000,100,100,100,18.7,1199,88.7,5,4
5,100,30000,100,100,100,18.6,1197,81.83,5,7
6.5,200,55000,100,200,100,23.9,1582,126.2,5,7
3.8,100,120000,100,100,100,18.2,1199,82.4,5,7
6.6,100,10000,100,100,200,21.21,1197,81.8,5,4
1.8,100,120000,100,200,100,18,1248,75,5,12
2.5,200,55000,100,200,100,25.44,936,56.3,5,7
12.75,200,8000,100,100,100,16.8,1497,113.4,5,2
4.55,200,80000,100,100,100,14.53,1798,138.1,5,10
4.95,200,65000,100,200,100,28.4,1248,74,5,7
2.2,100,47000,100,100,100,21.1,1197,85.8,5,12
4.75,100,25000,100,100,100,18.9,1197,82,5,6
9,100,7791,100,200,100,25.1,1248,88.5,5,4
5.3,100,70000,100,100,100,20.73,1373,91.1,5,7
5.3,100,9500,100,100,100,23.84,1199,84,5,6
6.5,100,9100,100,100,100,17.01,1591,121.3,5,7
4.95,200,82000,100,100,100,12.8,2354,177.6,5,12
3.35,200,86000,100,100,100,17,1497,118,5,12
12.9,200,78000,100,200,200,16.55,1968,147.51,5,9
3,100,60000,100,200,100,20,1399,68,5,11
5.5,300,7883,100,100,200,21.5,1197,81.8,5,3
3.9,300,50205,100,200,100,23.4,1248,74,5,9
3.95,200,58000,100,200,100,24.7,1047,69,5,5
6.5,100,15000,100,100,100,22,1197,81.8,5,4
3.75,200,71245,100,200,100,28.4,1248,74,5,6
3,100,20000,100,200,100,21.12,1248,88.8,5,10
4.5,200,52000,100,100,100,16.78,1496,88.73,5,6
3.35,100,61000,100,100,100,19.4,1198,86.8,5,7
13,100,7000,100,100,100,16.1,1353,138,5,3
3.6,100,20000,100,100,100,23.95,998,67.05,5,4
5.05,100,8700,100,100,100,21.63,998,67.04,5,2
3.1,100,25000,100,100,100,24.7,796,47.3,5,3
5.45,200,42000,100,100,100,18.6,1197,81.86,5,7
3,100,120000,100,200,100,14,2498,112,7,13
2,100,60000,100,100,100,14.4,1399,94,5,13
5.8,100,50000,100,100,100,21.4,1197,83.1,5,4
2.5,100,58000,100,100,100,18.9,998,67.1,5,11
6.5,100,36000,100,100,100,17.43,1396,105.5,5,5
8,100,80000,100,200,100,23.65,1248,88.5,5,6
14.75,200,71000,100,200,200,15.73,1968,174.33,5,9
4.1,100,30000,100,200,100,25.47,1248,88.5,7,4
8.9,100,7500,100,200,100,23,1498,98.96,5,4
7.75,200,47227,100,200,100,14,2179,138.1,7,6
4.35,200,52000,100,300,100,33.54,998,67.04,5,4
1.85,200,74000,100,200,100,20,1399,68.05,5,10
4.5,100,50000,100,100,100,18.6,1197,81.83,5,7
6,100,100000,100,100,100,21.4,1197,83.1,5,5
3.2,100,35000,100,100,100,23.1,998,67.04,5,8
7,100,50000,100,200,100,21.19,1396,88.73,5,6
6.3,100,10000,100,100,100,18.16,1196,86.8,5,4
3.2,100,10370,100,100,100,22.74,796,47.3,5,6
4.65,200,62000,100,100,100,16.8,1497,116.3,5,9
