selling_price,seller_type,Km_driven,owner_type,fuel_type,transmission_type,Mileage_KMpH,Engine_cc,max_power_bhp,Seats,No_year
5.5,200,19247,100,100,200,24,1199,83.81,5,3
9.5,200,42000,100,200,100,15.1,2179,140,7,7
15.5,200,67000,100,200,100,13.68,2393,147.8,7,5
4.65,200,67817,100,100,100,20.36,1197,78.9,5,6
7.15,200,40000,100,100,100,20.73,1373,91.1,5,7
3.18,100,3600,100,100,100,24.7,796,47.3,5,5
4.5,200,73000,100,100,100,18,1198,86.7,5,7
7.5,100,90000,100,200,100,24.3,1248,88.5,5,6
5,100,30000,100,100,100,20.89,1197,81.8,5,5
3.75,200,73000,100,100,100,19.81,1086,68.05,5,11
4.85,100,40000,100,100,100,18.9,1197,82,5,6
3.6,100,58000,100,100,100,20.63,1198,67.06,5,5
6,200,71000,100,100,100,20.73,1373,91.1,5,6
6.9,200,71500,100,200,100,21.7,1498,98.96,5,6
4.65,200,71200,100,200,100,19.3,1248,73.9,5,9
7.5,200,41000,100,200,100,28.09,1248,88.5,5,6
5.8,100,85000,100,200,100,25.4,1186,73.97,5,5
5.85,200,65512,100,200,100,22.32,1582,126.32,5,9
6.65,200,37000,100,100,200,15.63,1499,110.4,5,7
17.5,100,20000,100,200,100,17,1956,138.1,5,3
15.95,200,57800,100,200,200,20.38,1968,143,5,7
2.5,100,50000,100,100,100,17.92,1086,62.1,5,11
5.5,200,11510,100,200,100,24,1186,73.97,5,4
4.9,200,50000,100,200,100,25.32,1198,77,6,5
4.8,100,117962,100,200,100,25.2,1248,74,5,8
6.55,200,115000,100,200,100,28.09,1248,88.5,5,6
11,100,50000,100,200,100,19.67,1582,126.2,5,5
8.9,200,1300,100,100,200,21.4,1197,83.1,5,4
3.55,200,94000,100,100,200,16.95,1197,78.9,5,11
4.2,100,43500,100,200,100,19.3,1248,73.9,5,10
4.1,200,20903,100,300,100,32.52,998,58.33,5,8
2.5,100,30000,100,100,100,15.37,1196,73,5,8
4.2,100,80000,100,100,100,23.84,1199,84,5,5
7.4,200,103247,100,200,100,22.32,1582,126.32,5,8
2.25,100,100000,100,100,100,17.7,1497,78,5,14
13.5,100,15000,100,200,100,22.1,1396,88.7,5,2
8.22,200,9691,100,200,100,28.4,1248,74.02,5,5
3.25,200,87000,100,100,100,22.3,799,53.26,5,6
1.5,100,100000,100,200,100,23.03,1396,69,5,9
3.5,100,37000,100,100,100,25.17,799,53.3,5,6
2.7,200,46700,100,200,100,22.9,1248,74,5,11
1.95,200,72456,100,200,100,25.44,936,57.6,5,8
2.6,200,107589,100,200,100,23.2,1248,73.94,5,10
1.2,100,120000,100,200,100,17.88,1405,48.21,5,8
6,100,120000,100,200,100,26,1498,98.6,5,7
3.85,200,45000,100,100,200,19.2,1197,80,5,11
8.6,200,69000,100,200,200,23.8,1498,78.9,5,4
4,100,120000,100,200,100,23.5,1498,90,5,10
7,100,30000,100,200,100,27.4,1498,98.63,5,3
7.5,100,40000,100,100,100,18.6,1197,81.86,5,3
3.5,200,60000,100,200,100,23.08,1461,63.1,5,9
8.4,200,64000,100,200,100,25.1,1248,88.5,5,4
1.9,100,60000,100,200,100,11.57,2179,138.1,7,14
4.9,200,49000,100,100,100,21.21,1197,81.8,5,6
2,100,70000,100,100,100,19.7,796,46.3,5,10
7.75,200,70000,100,200,100,19.64,1461,108.45,5,7
5.5,200,18900,100,100,200,23.84,1199,83.83,5,3
4,100,15000,100,100,100,20.36,1197,78.9,5,10
6.5,100,133000,100,200,100,20.77,1248,88.76,7,7
6,100,70000,100,200,100,25.4,1186,73.97,5,4
9.5,200,34000,100,200,100,24.3,1248,88.5,5,5
9.25,200,30700,100,200,100,23.9,1582,126.2,5,5
15.49,100,5000,100,200,100,20.8,1493,113.4,5,3
2,100,120000,100,100,100,19,998,66.1,5,12
6.5,100,21500,100,100,100,21.21,1197,81.8,5,4
2.51,100,55294,100,100,100,20.92,998,67.1,5,10
8,100,10000,100,200,100,28.4,1248,74.02,5,4
3.5,100,20000,100,100,100,18.6,1197,85.8,5,9
4,200,100000,100,200,200,20,1968,138.1,5,10
6.9,100,142222,100,200,100,14.95,2489,93.7,7,5
1.5,100,77000,100,100,100,18.9,1061,67,5,13
6,200,72859,100,200,100,20.77,1248,88.8,7,8
5.65,200,77984,100,200,100,22.7,1498,89.84,5,8
13.5,100,70000,100,200,200,14.84,2143,170,5,8
3,100,60000,100,100,100,18.06,1198,75,5,11
1.95,100,80000,100,200,100,23.03,1396,69,5,12
5.6,200,49862,100,200,100,20.45,1461,83.8,5,9
3.8,200,43000,100,100,100,18.9,1197,82,5,8
2,100,44000,100,200,100,19.4,1405,70,5,9
9.7,200,16000,100,200,100,16.55,2498,105,6,3
2.5,200,60000,100,200,100,20,1399,68.05,5,8
5.5,200,37326,100,100,100,18.78,999,75,5,3
2.5,200,48255,100,100,100,22.74,796,47.3,5,8
6.98,200,45215,100,100,200,21.4,1197,83.1,5,6
3.95,200,33000,100,100,200,24.04,999,67,5,5
7.75,100,20000,100,100,100,17.7,1591,121.3,5,5
7.5,100,57000,100,200,100,28.4,1248,74.02,5,3
10,200,2000,100,100,100,17.8,1498,119.35,5,2
13.5,100,31700,100,200,100,19.67,1582,126.2,5,3
9,200,59000,100,100,200,18,1497,117.6,5,5
12.5,100,51000,100,200,100,12.4,2499,134,5,5
4.8,100,77500,100,200,100,26.59,1248,74,5,7
5.39,100,8000,100,100,100,21.21,1197,81.8,5,3
6.9,200,24000,100,200,100,25.83,1498,99,5,5
10.25,200,18890,100,200,100,23,1498,98.96,5,4
5.25,100,5000,100,100,100,18.9,1197,81.86,5,4
3.35,200,39000,100,100,100,20.3,998,68.05,5,4
3.85,200,41000,100,100,200,19.2,1197,80,5,10
2.9,100,40330,100,100,100,20.51,998,67.04,5,8
6.35,200,98000,100,200,100,21.14,1498,103.52,5,6
9.5,100,50000,100,200,100,21.5,1497,108.5,5,4
5.45,200,36000,100,100,200,23.1,998,67.04,5,4
3,100,70000,100,200,100,17.21,1493,100,7,9
3.25,200,77000,100,200,100,20,1399,68.05,5,8
4.25,200,58802,100,100,100,18.9,998,67.1,5,6
8.25,200,38959,100,200,100,23,1498,98.96,5,4
2.5,100,100000,100,200,100,19.09,1396,69,5,10
3.49,200,37000,100,100,100,24.7,796,47.3,5,4
7.5,200,56000,100,100,200,18.19,1197,103.2,5,7
5.8,200,91000,100,200,100,23.4,1248,74,5,9
6.15,100,100000,100,200,100,20.14,1498,88,5,5
3.7,200,68000,100,100,200,16.95,1197,78.9,5,10
2.35,100,53000,100,100,100,18.2,1199,84.8,5,9
1.6,200,78000,100,100,100,18.9,998,67.1,5,15
3.7,100,20000,100,100,100,23.95,998,67.05,5,3
15.5,100,85000,100,200,200,17.68,1968,174.33,5,11
4.15,200,55000,100,200,100,21.2,1248,75,5,8
7.5,200,60000,100,200,200,19.5,1582,126.24,5,9
6,100,30000,100,100,100,18.6,1197,81.83,5,6
11.5,200,34800,100,100,100,13,1591,121.3,5,5
19.5,200,30000,100,100,200,14.67,1798,177.46,5,5
5.75,200,38000,100,100,100,17.8,1497,117.3,5,9
1.95,100,70000,100,200,100,20,1399,68,5,10
4.45,200,50979,100,100,100,19.81,1086,68.05,5,6
7,200,65000,100,200,100,24.52,1248,88.5,7,6
4.1,200,45782,100,200,100,19.3,1248,73.9,5,7
6.45,200,26917,100,100,100,21.01,1197,81.8,5,5
1.15,100,35000,100,100,100,19.7,796,46.3,5,12
2.62,100,15000,100,100,100,22.74,796,47.3,5,9
6.25,200,70000,100,200,100,27.3,1498,98.6,5,5
7.85,200,83000,100,200,100,24.3,1248,88.5,5,5
5.1,100,61000,100,200,100,26.59,1248,74,5,7
2.05,200,64521,100,100,100,14,1061,64,5,14
9,100,11000,100,200,100,24.3,1248,88.5,5,4
5.5,100,70000,100,200,100,22.32,1582,126.3,5,9
16.35,100,6000,100,100,100,16.1,1353,138,5,3
2.9,200,69001,100,100,100,17.3,1061,64,5,11
3.5,100,70000,100,100,100,17.57,1193,88.7,5,6
6.1,100,20000,100,100,100,22,1197,81.8,5,4
8.14,200,56000,100,200,100,24.3,1248,88.5,5,5
3.9,200,60000,100,200,100,22.9,1248,74,5,10
6.5,200,67000,100,200,200,19.08,1582,126.32,5,10
6,100,70000,100,200,100,15.1,2179,140,7,9
5.83,200,91288,100,200,100,24,1120,70,5,6
14.5,200,112000,100,200,200,14.84,2143,167.62,5,10
3.95,100,75000,100,100,100,18.16,1196,86.8,5,6
9.25,200,67000,100,200,100,15.4,2179,120,7,7
11,100,103142,100,200,200,15.73,1968,174.33,5,9
7.5,100,5000,100,100,100,18.6,1197,81.83,5,4
5.6,200,31000,100,100,100,17,1497,118,5,9
3.5,200,95000,100,200,100,23.08,1461,63.1,5,10
7.45,200,44213,100,200,100,19.6,1461,108.45,5,6
7,100,30000,100,100,200,21.4,1197,83.1,5,4
5.8,200,115239,100,200,100,19.01,1461,108.5,5,8
8.75,200,8000,100,200,100,27.4,1498,98.63,5,3
7.97,200,68429,100,200,100,26.21,1248,88.5,5,6
3.2,200,58885,100,100,100,18.5,1198,86.8,5,10
5.71,200,46861,100,100,200,18.9,1197,82,5,6
5.65,200,59000,100,200,100,25.8,1498,98.6,5,6
6.3,200,33980,100,100,100,18.7,1199,88.7,5,6
6,100,25500,100,100,100,21.21,1197,81.8,5,3
1.95,200,51479,100,100,100,19.7,796,46.3,5,12
6.2,100,30000,100,100,200,21.4,1197,83.1,5,6
7.35,200,87000,100,200,100,21.5,1497,108.5,5,4
6.5,100,40000,100,200,100,25.2,1248,74,5,5
3.2,100,30000,100,100,100,25.17,799,53.3,5,4
11,200,29000,100,200,100,25.1,1498,98.6,5,4
4.44,100,10000,100,100,100,19.83,1198,67,5,3
4.75,200,69300,100,100,200,18.9,1197,82,5,7
5.68,200,37850,100,100,100,18.9,1197,81.86,5,5
3.5,200,52361,100,100,100,23.95,998,67.05,5,6
15,100,70000,100,200,100,16.36,2179,140,7,4
7.7,200,19790,100,100,100,17.5,1199,88.7,5,4
12.5,200,68200,100,200,100,16,2179,140,7,7
8.5,100,140000,100,200,100,12.99,2494,100,7,9
4.25,200,79000,100,200,100,28.4,1248,74,5,10
5.8,200,43875,100,100,200,21.4,1197,83.1,5,4
11.5,100,90000,100,200,200,18.5,1985,163,5,10
7.91,100,100000,100,200,100,19.3,1248,73.9,5,4
5.55,200,69000,100,200,100,21.14,1498,103.52,5,7
2.45,200,51000,100,200,100,25.44,936,57.6,5,10
7.5,200,30000,100,100,100,20.73,1373,91.1,5,7
2.5,100,25000,100,100,100,23.01,999,67,5,6
4.95,200,68000,100,200,100,23.4,1248,74,5,7
1.5,100,120000,100,100,100,19.7,796,46.3,5,16
10.25,100,110000,100,200,200,16,2179,140,7,6
7.8,200,40079,100,100,100,18.6,1199,88.76,5,4
2.3,100,35000,100,100,100,22.7,799,53.64,5,5
8.6,100,20000,100,200,100,22,1498,108.495,5,4
6.9,200,63096,100,200,100,20.34,1498,103.2,5,7
8.4,300,14774,100,100,100,21.56,1462,103.25,5,4
10.5,200,74000,100,200,100,17.6,2179,153.86,7,5
3,100,110000,100,200,100,17.8,1248,75,5,12
3.45,200,30000,100,100,100,25.17,799,53.3,5,6
3.5,100,97000,100,200,100,25.44,936,56.3,5,5
2.25,100,70000,100,100,100,19.81,1086,68.05,5,10
1.85,200,44000,100,100,100,18.6,1199,79.4,5,11
5,100,17000,100,100,200,23.1,998,67.04,5,4
4.2,100,50000,100,200,100,22.9,1248,74,5,9
5.25,200,70695,100,200,100,28.4,1248,74,5,7
11,100,30000,100,100,100,13,1591,121.3,5,4
12.25,200,10000,100,100,200,18,1497,117.6,5,5
2.95,100,30000,100,100,100,15.6,1196,70.02,5,8
1.65,100,70000,100,100,100,19.7,796,46.3,5,13
3,100,50000,100,100,100,18.6,1197,85.8,5,9
2.7,100,25000,100,100,100,21.1,814,55.2,5,6
5.3,200,101374,100,200,100,23.4,1248,74,5,8
5.5,100,25000,100,100,100,18.9,1197,81.86,5,3
6.15,200,69000,100,200,100,22.77,1498,98.59,5,7
2.1,100,80000,100,200,100,25.44,936,57.6,5,10
6,200,128000,100,200,100,26,1498,98.6,5,7
5.8,200,95066,100,100,100,17.4,1497,117.6,5,6
9.58,100,15000,100,100,100,18.27,998,118.35,5,3
4.4,200,71233,100,200,100,28.4,1248,74,5,9
10.25,200,29000,100,100,100,17.8,1497,117.3,5,5
3.5,200,33000,100,100,100,16.11,1196,72.42,5,4
1,100,70000,100,100,100,18.2,1061,64,5,16
3.85,200,63168,100,100,100,19.81,1086,68.05,5,7
11.5,100,10000,100,200,100,17.6,2179,147.94,7,5
7.8,200,25645,100,200,100,22.54,1396,88.73,5,4
2.75,200,90000,100,100,100,20.36,1197,78.9,5,12
3.2,200,97845,100,200,100,23,1396,90,5,12
15.5,200,47000,100,200,100,16.36,2179,138.13,7,4
4.75,200,85000,100,100,100,20.85,1197,83.14,5,9
3.95,100,60000,100,100,100,19.4,1198,86.8,5,6
4.4,200,79418,100,100,100,17,1497,118,5,11
7,200,105246,100,200,100,17.67,1968,138.08,5,10
4.3,200,92000,100,200,100,22.7,1498,89.84,5,9
3.47,200,32903,100,100,100,23.95,998,67.05,5,6
1.5,100,137000,100,100,100,13.4,1794,125,5,15
6.6,200,88098,100,200,100,21.9,1396,90,5,6
4.75,200,81000,100,200,100,28.4,1248,74,5,8
5.75,200,98000,100,100,200,21.4,1197,83.1,5,6
2.11,200,42000,100,100,100,19.7,796,46.3,5,10
5.5,200,55002,100,200,100,26.59,1248,74,5,9
12.49,200,88000,100,200,200,17.01,1582,126.2,5,6
5.35,100,100000,100,200,100,25.2,1248,74,5,6
9.95,200,99000,100,200,200,14.84,2143,170,5,14
5,200,50000,100,100,100,18.6,1197,85.8,5,8
2.75,200,68782,100,200,100,23.57,1396,70,5,9
11.75,200,15000,100,200,100,23.7,1396,88.7,5,3
1.9,100,90000,100,200,100,16.8,1493,110,5,14
2,100,30000,100,100,100,20.63,1198,67.06,5,7
2.24,200,40580,100,100,100,22.74,796,47.3,5,9
4.4,200,79000,100,200,100,22.07,1199,73.9,5,8
4.3,100,70000,100,100,100,17.01,1591,121.3,5,9
8.8,200,13133,100,200,100,24.4,1498,98.63,5,3
7.68,200,51577,100,200,100,24.3,1248,88.5,5,6
1.64,100,80000,100,100,100,19.7,796,46.3,5,12
7.25,200,136542,100,200,100,15.4,2179,120,7,8
6.9,200,138000,100,200,100,25.47,1248,88.5,7,9
1.55,100,60000,100,100,100,17.8,1086,63,5,15
7,200,56393,100,200,100,22.77,1498,98.59,5,6
4.3,100,131000,100,200,100,21.27,1396,88.76,5,9
4.1,100,70000,100,200,100,27.28,1047,69,5,4
9.39,200,13666,100,200,200,24.3,1248,88.5,5,4
5.8,200,62000,100,200,100,22.54,1396,88.73,5,6
3.85,200,34000,100,100,100,23.01,999,67,5,6
5.15,100,10000,100,100,100,18.9,1197,81.86,5,4
5.7,200,49400,100,200,100,19.01,1461,108.45,5,9
9.5,200,65000,100,200,100,14.1,2179,153.86,7,4
8,200,60000,100,200,100,25.5,1498,98.6,5,4
3.25,200,75000,100,200,100,20,1399,68.05,5,11
3.5,100,120000,100,200,100,19.3,1248,73.9,5,11
3.8,100,30000,100,100,100,23.95,998,67.05,5,4
8.8,100,60000,100,200,100,21.38,1396,88.7,5,5
4.75,200,67000,100,200,100,25.8,1498,98.6,5,8
4.5,200,67600,100,100,100,18.5,1197,85.8,5,7
2.2,200,66516,100,100,100,22.74,796,47.3,5,9
7.8,200,44000,100,100,200,19.12,1373,91.1,5,5
4,100,100000,100,200,100,13.93,2179,138.1,7,10
5.5,100,50000,100,200,100,14.95,2489,93.7,7,5
5,200,49361,100,100,100,16.09,1598,103.2,5,9
5.5,100,44000,100,100,100,18.5,1197,82.85,5,8
4.25,100,70000,100,200,100,24,1120,70,5,6
6.95,200,27000,100,100,100,19.01,1462,103.26,7,6
5.6,200,70209,100,200,100,20.45,1461,83.8,5,9
5.99,100,25000,100,100,200,21.4,1197,83.1,5,5
7.15,100,70000,100,100,100,17.8,1497,117.3,5,6
7.47,300,42048,100,200,100,28.4,1248,74.02,5,4
10,100,10000,100,100,200,18.15,998,118.35,5,3
3.8,100,60000,100,100,100,20.51,998,67.04,5,5
2.25,200,106000,100,100,100,18.06,1198,75,5,11
5.5,200,28563,100,100,100,21.4,1197,83.1,5,4
8.5,100,70000,100,200,100,23.65,1248,88.5,5,6
2.91,200,66000,100,100,100,20.51,998,67.04,5,10
3.5,100,35000,100,100,100,23.95,998,67.05,5,4
3.5,100,1200,100,100,100,22.05,796,47.3,5,3
7,100,70000,100,200,100,22.32,1582,126.3,5,9
4.4,100,44000,100,200,100,12.05,2179,120,7,12
6.8,100,50000,100,100,100,17.19,1197,81.86,5,5
9.6,100,120000,100,200,100,19.67,1582,126.2,5,6
20,200,93000,100,200,200,14.16,1968,174.3,5,9
5.75,200,40000,100,100,100,17,1198,73.75,5,5
2.5,100,100000,100,200,100,22.3,1248,74,5,8
11.49,200,34000,100,100,100,13,1591,121.3,5,5
3.8,100,70000,100,200,100,24,1120,70,5,7
4.95,200,50000,100,100,200,20.51,998,67,5,6
8.5,200,55424,100,200,100,16,2179,140,7,7
3.8,200,5694,100,100,100,25.17,799,53.3,5,4
5.25,100,50000,100,200,100,25.83,1498,99,5,6
6.57,200,18677,100,100,100,22,1197,81.8,5,4
4.5,200,9200,100,100,100,23.01,999,67,5,4
6.9,200,55000,100,200,100,15,1248,88.5,5,6
6.25,200,36000,100,200,100,28.4,1248,74,5,4
9.95,100,10000,100,100,100,21.56,1462,103.25,5,3
6.9,100,50000,100,200,100,28.4,1248,74.02,5,4
4,100,50000,100,200,100,20.54,1598,103.6,5,11
5.85,100,10000,100,100,100,20.85,1197,83.14,5,7
4.25,200,92000,100,200,100,25.8,1498,98.6,5,9
2.8,200,54523,100,200,100,20,1399,68,5,12
2.25,100,26000,100,100,100,21.1,814,55.2,5,10
5.25,200,25780,100,100,100,18.16,1196,86.8,5,6
4.5,100,30000,100,100,100,20.85,1197,83.14,5,7
8.5,200,65120,100,100,100,20.73,1373,91.1,5,4
5.5,100,50000,100,200,200,28.4,1248,74,5,4
11.49,200,66000,100,100,100,13,1591,121.3,5,5
5.65,200,7000,100,100,100,18.9,1197,81.86,5,3
1.05,200,74555,100,200,100,11.57,2179,138.1,7,15
4.1,100,25000,100,100,200,23.95,998,67.1,5,4
4.15,100,90000,100,200,100,21.9,1396,88.76,5,9
4.4,200,23748,100,100,100,18.5,1198,86.8,5,9
6,100,60000,100,200,100,28.09,1248,88.5,5,5
2.95,200,79000,100,200,100,19.3,1248,73.9,5,14
2.35,200,67000,100,100,100,19.7,796,46.3,5,10
6.21,200,51000,100,100,100,18.6,1197,81.83,5,6
3.1,200,55000,100,100,100,21.1,814,55.2,5,9
1.75,200,26097,100,100,100,19.7,796,46.3,5,13
6.25,200,61000,100,200,100,20.14,1498,88.8,5,7
4,200,44904,100,100,100,18.9,1197,81.86,5,8
3.6,200,133592,100,200,100,28.4,1248,74,5,11
4.15,100,70000,100,200,100,23.2,1248,73.94,5,6
4,200,119440,100,200,100,12.99,2494,100.6,7,14
17.5,200,4000,100,200,100,17.1,1956,170,5,4
3.24,100,120000,100,200,100,19.09,1405,69.01,5,6
6.75,200,54000,100,200,100,25.83,1498,99,5,5
4.9,100,1000,100,100,100,21.7,998,67,5,2
10.95,200,30000,100,200,100,28.09,1248,88.5,5,4
1.2,100,80000,100,100,100,18.2,1061,64,5,14
6,200,72000,100,200,100,21.27,1396,88.76,5,7
1.85,200,86156,100,100,100,19.7,796,46.3,5,15
5.9,200,65000,100,200,100,27.3,1498,98.6,5,6
4.15,200,56238,100,200,100,20.54,1598,103.6,5,11
9.1,200,66622,100,200,100,24.3,1248,88.5,5,3
4,100,100000,100,200,100,25.2,1248,74,5,8
6.3,200,70000,100,200,100,25.2,1248,74,5,5
1.85,100,60000,100,100,100,19.7,796,46.3,5,10
3.27,300,15453,100,100,100,24.7,796,47.3,5,4
2,100,110000,100,200,100,22.1,1248,76.9,5,9
2.65,100,70000,100,100,100,23.95,998,67.05,5,7
8,100,5600,100,100,100,20,999,71,7,2
4.2,200,142996,100,200,100,24,1120,70,5,7
1.9,100,65000,100,100,100,18,995,62,5,11
7.99,200,62000,100,200,100,16.55,2498,105,6,6
7.9,100,50000,100,200,100,20.14,1498,88,5,5
8,100,25000,100,200,100,17.6,2179,153.86,7,4
13.8,200,34293,100,200,100,17.6,2179,153.86,7,3
9.8,100,50000,100,200,100,23,1498,98.96,5,4
4.2,100,5000,100,100,100,21.7,998,67,5,3
3.1,200,76470,100,100,100,20.51,998,67.04,5,8
3.09,200,78010,100,100,100,20.51,998,67.04,5,11
5.3,200,101931,100,200,100,19.3,1248,73.9,5,8
3.8,100,120000,100,200,100,21.64,1461,84.8,5,8
6,100,110000,100,200,100,28.4,1248,74,5,4
5.75,200,82000,100,200,100,25.2,1248,74,5,6
5.4,200,90000,100,200,100,21.9,1396,88.76,5,7
3,200,35236,100,100,100,22.74,796,47.3,5,7
9,200,75000,100,200,100,22,1582,126.2,5,4
3.5,100,25000,100,100,100,23.95,998,67.05,5,7
7.25,200,58000,100,200,100,18.49,1493,100,7,6
8.5,200,63516,100,200,100,15.1,2179,140,7,7
15.5,200,51000,100,200,200,20,2143,107.3,5,8
8.4,200,14000,100,100,100,20.73,1373,91.1,5,4
4.9,200,11400,100,100,100,20.52,1197,81.8,5,3
4.65,200,39000,100,100,200,23.1,998,67.04,5,8
5.75,200,54000,100,200,100,24.4,1120,71,5,8
8.5,100,60000,100,200,100,23,1498,98.96,5,4
1.45,100,80000,100,100,100,20.36,1197,78.9,5,13
2.7,100,135000,100,200,100,21.2,1248,75,5,8
5.11,100,33500,100,100,100,19.1,1197,82,5,6
5.8,100,98000,100,200,100,26,1498,98.6,5,8
6,100,25000,100,100,100,18.9,1197,82,5,5
6.45,200,75000,100,200,100,27.39,1248,74,5,5
6.2,200,46852,100,200,100,22.9,1248,74,5,6
2.35,200,70000,100,100,100,17.7,1497,78,5,14
11.5,200,14000,100,100,100,19.01,1462,103.2,6,2
3.85,200,75000,100,200,100,23.2,1248,73.94,5,6
5,100,120000,100,200,100,14.95,2489,93.7,7,5
8.5,100,30000,100,200,100,16.55,2498,105,6,5
2.9,100,50000,100,200,100,27.62,793,47,5,7
2.5,100,100000,100,200,100,17.8,1248,75,5,12
3.25,100,40000,100,100,100,20.51,998,67.04,5,6
6.51,100,99000,100,200,100,28.09,1248,88.5,5,6
3.65,100,60000,100,200,100,22.1,1248,76.9,5,9
3.5,100,35000,100,100,100,19.44,1198,67,7,5
13.75,200,38000,100,100,200,14.28,1798,138.03,5,6
4,100,60000,100,200,100,22.07,1199,73.9,5,9
3.2,100,80000,100,100,100,17,1497,118,5,13
13.5,200,87000,100,200,100,16,2179,140,7,7
5.4,200,43000,100,100,100,22,1197,81.8,5,7
6.7,200,35000,100,100,200,19.56,1197,81.8,5,5
3.5,200,68759,100,100,100,17,1497,118,5,13
4.41,200,87566,100,100,100,15.26,1598,103.5,5,7
5.75,200,78224,100,200,100,24.2,1498,98.6,7,8
5.9,100,20000,100,100,100,18.16,1196,86.8,5,5
6.85,200,31800,100,100,200,14.84,1598,103.2,5,6
13.5,100,5000,100,100,200,14.8,1591,121.3,5,3
4.5,200,83765,100,200,100,17.3,1998,163.7,5,9
4.35,200,41000,100,100,200,20.51,998,67,5,5
8.5,200,60000,100,200,100,27.39,1248,74,5,4
4.29,100,4000,100,100,100,25.17,799,53.3,5,2
5.99,200,69000,100,200,100,22.77,1498,98.59,5,7
9.9,200,29349,100,100,100,20.73,1373,91.1,5,4
4.75,200,87000,100,100,100,10.8,2354,152,5,15
4.5,200,77831,100,200,100,22.9,1248,74,5,9
4.95,200,58000,100,100,100,21.63,998,67.04,5,3
5.6,100,120000,100,200,100,28.4,1248,74.02,5,5
7.95,200,32000,100,100,100,20.73,1373,91.1,5,5
4.05,200,45000,100,100,100,18.9,1197,82,5,7
5.5,100,20000,100,100,100,18,1198,86.7,5,8
4.25,100,60000,100,200,100,27.28,1047,69,5,4
16.11,200,44236,100,200,100,12.99,2494,100.6,7,6
2.9,200,80000,100,100,100,22.74,796,47.3,5,4
3,100,70000,100,200,100,23.2,1248,73.94,5,6
3.75,100,60000,100,100,100,20.51,998,67.06,5,7
3.5,200,40000,100,100,100,25.17,799,53.3,5,5
2.6,200,97438,100,300,100,15.1,1196,73,5,12
7.25,200,65500,100,200,100,18.49,1493,100,7,7
2.55,100,30000,100,100,100,22.5,999,67,5,4
3.1,100,30000,100,100,100,25.17,799,53.3,5,7
5.52,100,90000,100,200,100,26.59,1248,74,5,6
1.1,100,60000,100,100,100,18,995,62,5,14
5.2,100,37400,100,200,100,24,1120,70,5,6
9.2,200,39000,100,100,100,13,1591,121.3,5,6
7.5,100,10000,100,100,200,17.4,1197,81.86,5,3
5.9,200,58000,100,100,100,18.6,1197,81.83,5,8
2.54,100,60000,100,100,100,20.92,998,67.1,5,10
6.5,100,50000,100,200,100,28.09,1248,88.5,5,6
3.6,100,60000,100,200,100,20,1399,68.05,5,8
3.25,200,68000,100,100,100,25.17,799,53.3,5,7
6.9,300,89823,100,200,100,22.54,1396,88.73,5,5
6.25,200,43000,100,100,100,20.85,1197,83.14,5,7
3.9,200,37000,100,100,100,18.9,998,67.1,5,9
5.25,100,20000,100,100,100,20.85,1197,83.14,5,6
2.85,200,82000,100,100,200,16.95,1197,78.9,5,11
3.55,200,63000,100,100,100,20.36,1197,78.9,5,10
3.9,100,110000,100,200,100,23.4,1248,74,5,8
3.7,100,50000,100,100,100,18.6,1197,85.8,5,9
2.8,200,85520,100,100,100,22,1197,81.8,5,12
7.5,200,70000,100,200,100,18.49,1493,100,7,5
11.7,100,10000,100,100,100,17,1591,121.3,5,3
4.5,200,75000,100,200,200,20,1968,138.1,5,12
8,200,60172,100,100,200,16.5,1499,110,5,7
5,100,66000,100,200,100,22.32,1582,126.32,5,9
9,200,47527,100,200,100,22.54,1396,88.76,5,3
3.9,200,64000,100,100,100,18.9,1197,82,5,7
3.98,100,28054,100,100,100,17.92,1086,62.1,5,9
4,100,60000,100,200,100,22.1,1248,76.9,5,9
5.5,100,33000,100,200,100,25.4,1186,73.97,5,4
3,200,50000,100,100,100,17.3,1497,117.3,7,7
2,100,120000,100,200,100,21.1,1248,73.9,5,12
12.75,200,56500,100,200,200,16,1997,140,7,6
15.5,200,40328,100,200,100,15.1,2179,152.87,7,4
4.8,100,130000,100,200,100,19.33,1968,138.03,5,9
5.8,200,91462,100,200,200,19.08,1582,126.32,5,10
7.5,100,32000,100,200,100,28.4,1248,74.02,5,4
5.75,200,81000,100,200,100,22.7,1498,89.84,5,9
2.5,100,49000,100,100,100,14,796,35,5,10
15.5,200,10000,100,200,200,17.6,1582,126.2,5,3
2.8,200,54943,100,100,100,20.36,1197,78.9,5,10
2.85,100,80000,100,200,100,13.93,2179,138.03,7,10
3.25,200,79000,100,200,100,23.08,1461,63.1,5,11
3.85,200,25884,100,100,100,23.95,998,67.05,5,5
3.95,200,76000,100,200,100,20,1399,68,5,9
6.4,200,14000,100,100,100,21.01,1197,81.8,5,3
11,100,100000,100,100,100,15.4,1497,117.3,7,4
8.5,200,71000,100,100,100,17.8,1497,117.3,5,5
8.89,200,80000,100,200,100,21.5,1497,108.5,5,4
3.2,200,52221,100,100,100,20.36,1197,78.9,5,12
7.71,100,25000,100,200,100,24.4,1498,98.63,5,4
5.99,200,98000,100,200,100,20.14,1498,88,5,6
6.75,200,26000,100,100,100,18.6,1197,81.86,5,4
3.75,200,46139,100,200,100,24,1186,73.97,5,5
7.35,100,12000,100,100,100,18.6,1197,81.86,5,3
